year,berkeley_earth_mean,berkeley_earth_sd,crutem5_mean,crutem5_sd,glosatlat_mean,glosatlat_sd,dclsat_mean,dclsat_sd,noaa_land_mean,noaa_land_sd
1850,-1.10569,0.32607,,,,,-1.40536,0.06468,-1.07429,0.36803
1851,-0.91304,0.22611,,,,,-1.01114,0.07210,-0.88546,0.36803
1852,-0.97275,0.29172,,,,,-1.07380,0.07957,-0.84247,0.36802
1853,-0.95476,0.30264,,,,,-1.25058,0.09948,-0.96860,0.36803
1854,-0.82366,0.19953,,,,,-0.87973,0.08995,-0.76914,0.36802
1855,-0.76836,0.24038,,,,,-1.32988,0.08876,-0.86758,0.36802
1856,-0.92831,0.16838,,,,,-1.44483,0.09192,-0.84739,0.36802
1857,-1.15191,0.15821,-1.10131,0.36565,-1.06373,0.36800,-1.30390,0.08527,-0.88537,0.36803
1858,-0.97484,0.15660,-1.04673,0.33960,-0.98966,0.34532,-1.17199,0.06248,-0.96592,0.34535
1859,-0.84952,0.15613,-0.77732,0.33764,-0.70046,0.34340,-0.79753,0.05165,-0.81956,0.34344
1860,-0.95184,0.22641,-1.25097,0.34826,-1.16339,0.34855,-1.33335,0.05355,-1.20467,0.34859
1861,-1.03018,0.24728,-0.97231,0.34662,-0.92018,0.36523,-1.20936,0.04376,-1.21623,0.36527
1862,-1.14003,0.14022,-1.17395,0.36016,-1.12456,0.37928,-1.64587,0.04535,-1.37256,0.37929
1863,-1.07116,0.18453,-0.78419,0.35324,-0.72585,0.36738,-0.80813,0.04046,-1.12569,0.36738
1864,-1.09238,0.19223,-1.28538,0.35412,-1.23337,0.36598,-1.59713,0.04552,-1.21240,0.36600
1865,-0.73510,0.28586,-0.91718,0.34670,-0.87675,0.35881,-1.10196,0.04833,-0.99424,0.35881
1866,-0.89423,0.15391,-0.91036,0.32088,-0.87596,0.34077,-1.00928,0.04989,-1.07243,0.34077
1867,-0.73776,0.16775,-1.10363,0.31841,-1.06028,0.33787,-1.27569,0.04454,-1.15637,0.33787
1868,-0.80914,0.24556,-0.89197,0.30964,-0.87525,0.32834,-1.07275,0.04504,-1.04264,0.32834
1869,-0.51905,0.19180,-0.85655,0.30200,-0.82472,0.32560,-0.99245,0.04118,-0.82414,0.32558
1870,-0.94311,0.22474,-1.04342,0.28949,-1.02140,0.31283,-1.14769,0.04294,-1.10835,0.31281
1871,-0.81605,0.15141,-1.18194,0.28784,-1.13996,0.30658,-1.34574,0.05098,-1.11040,0.30658
1872,-0.82152,0.14589,-0.82307,0.27148,-0.78313,0.29129,-0.94237,0.04757,-1.14573,0.29129
1873,-0.78568,0.15461,-0.86301,0.26436,-0.83490,0.27697,-1.13095,0.04618,-1.05483,0.27698
1874,-0.94037,0.21702,-0.95086,0.26585,-0.91460,0.28186,-1.09215,0.04776,-1.02506,0.28185
1875,-1.05669,0.17669,-1.28863,0.22605,-1.27111,0.23900,-1.59761,0.04815,-1.23794,0.23899
1876,-0.96082,0.18585,-0.98297,0.22583,-0.95665,0.23864,-1.16183,0.04590,-1.17614,0.23861
1877,-0.61951,0.19111,-0.70334,0.23092,-0.67754,0.24559,-0.87146,0.05089,-0.74673,0.24556
1878,-0.47949,0.09326,-0.48861,0.22160,-0.48630,0.23219,-0.50332,0.05546,-0.62762,0.23218
1879,-0.97948,0.13930,-1.04146,0.21617,-1.02686,0.22964,-1.14785,0.04696,-1.09842,0.22961
1880,-0.96735,0.17142,-0.86757,0.21324,-0.86388,0.22533,-1.12925,0.03755,-1.08749,0.22533
1881,-0.89238,0.10438,-0.89910,0.20284,-0.90686,0.21894,-1.09947,0.03322,-0.97424,0.21895
1882,-1.00031,0.09943,-0.78243,0.19246,-0.81123,0.20621,-1.00895,0.02848,-1.14527,0.20622
1883,-1.05781,0.15711,-1.04793,0.18504,-1.08222,0.19423,-1.26525,0.03070,-1.08867,0.19422
1884,-1.15900,0.12731,-1.17060,0.18650,-1.22265,0.19138,-1.39801,0.02696,-1.25538,0.19137
1885,-1.18326,0.10886,-1.15363,0.18546,-1.21008,0.19217,-1.26303,0.03217,-1.11927,0.19217
1886,-1.06460,0.09978,-1.00184,0.18220,-1.05688,0.18910,-1.12447,0.03393,-1.12465,0.18907
1887,-1.15767,0.07149,-1.07449,0.18054,-1.13593,0.18723,-1.21591,0.03601,-1.22048,0.18721
1888,-0.92176,0.08369,-1.07111,0.17948,-1.10556,0.18780,-1.25241,0.03986,-0.89752,0.18779
1889,-0.72986,0.10553,-0.75882,0.18398,-0.78717,0.19074,-0.90010,0.03809,-0.73283,0.19073
1890,-1.06541,0.08310,-0.93096,0.18036,-0.98241,0.18556,-1.01142,0.03378,-1.11422,0.18554
1891,-1.06362,0.12270,-1.02295,0.17319,-1.06563,0.17831,-1.14114,0.02985,-1.10292,0.17828
1892,-1.13526,0.12763,-1.08565,0.17317,-1.12822,0.18014,-1.17007,0.03095,-1.11907,0.18012
1893,-1.08880,0.09866,-1.16192,0.17025,-1.20611,0.17768,-1.28148,0.03029,-1.22702,0.17766
1894,-0.88696,0.11289,-0.94428,0.16929,-0.99433,0.17518,-0.98763,0.02891,-1.16746,0.17518
1895,-0.90577,0.12097,-1.03669,0.16660,-1.04789,0.17372,-1.10513,0.02846,-1.06776,0.17371
1896,-0.83176,0.11260,-0.86736,0.16493,-0.89011,0.17212,-0.95884,0.02692,-1.01284,0.17210
1897,-0.68948,0.12561,-0.78620,0.16157,-0.80098,0.16561,-0.83985,0.02917,-0.87029,0.16559
1898,-0.79810,0.16812,-0.86012,0.15837,-0.89006,0.16278,-0.92017,0.02825,-1.02726,0.16275
1899,-0.66566,0.11126,-0.80092,0.15608,-0.82473,0.16180,-0.88453,0.03094,-0.86628,0.16178
1900,-0.55126,0.12593,-0.66960,0.15402,-0.69448,0.15955,-0.73171,0.02960,-0.74626,0.15952
1901,-0.57379,0.11522,-0.63859,0.15090,-0.65715,0.15684,-0.76618,0.02434,-0.67809,0.15680
1902,-0.80928,0.09312,-0.87283,0.14466,-0.89620,0.15115,-0.97403,0.02547,-0.88128,0.15111
1903,-0.90345,0.10679,-0.90813,0.14287,-0.92873,0.14896,-0.99645,0.02755,-0.99168,0.14892
1904,-0.97584,0.11806,-1.01238,0.14098,-1.05485,0.14703,-1.09351,0.03014,-0.99915,0.14698
1905,-0.91769,0.08315,-0.87361,0.13833,-0.89067,0.14221,-0.95509,0.02798,-0.92403,0.14215
1906,-0.67739,0.09227,-0.66682,0.13585,-0.70165,0.14077,-0.75191,0.02738,-0.69231,0.14072
1907,-1.13908,0.11624,-1.07117,0.13109,-1.09782,0.13538,-1.17346,0.02887,-1.08945,0.13536
1908,-0.98651,0.11553,-0.91329,0.12862,-0.94628,0.13467,-1.03047,0.02682,-1.03175,0.13463
1909,-0.90002,0.07759,-0.88445,0.12743,-0.91913,0.13197,-1.03598,0.02766,-0.97929,0.13192
1910,-0.87270,0.10085,-0.81137,0.12661,-0.83431,0.13239,-0.91346,0.02921,-0.86070,0.13234
