year,mean,p025,p050,p500,p975,sd
1850,-1.1893,-1.7513,-1.2086,-1.2086,-0.5281,0.3327
1851,-0.8584,-1.4258,-0.9317,-0.9317,-0.1538,0.3175
1852,-0.9306,-1.4340,-0.9787,-0.9787,-0.2349,0.3138
1853,-1.0698,-1.7003,-1.1243,-1.1243,-0.3988,0.3211
1854,-0.8267,-1.3690,-0.8507,-0.8507,-0.2269,0.2776
1855,-1.0459,-1.6744,-1.0838,-1.0838,-0.3877,0.3640
1856,-1.0548,-1.6027,-0.9891,-0.9891,-0.3668,0.3559
1857,-1.1283,-1.7245,-1.1802,-1.1802,-0.4631,0.3189
1858,-1.0411,-1.6492,-1.0679,-1.0679,-0.4819,0.2801
1859,-0.8152,-1.3956,-0.8067,-0.8067,-0.2176,0.2725
1860,-1.1660,-1.7695,-1.2325,-1.2325,-0.6064,0.3094
1861,-1.1582,-1.8434,-1.1779,-1.1779,-0.4913,0.3337
1862,-1.4071,-2.2047,-1.3945,-1.3945,-0.6741,0.3836
1863,-1.0115,-1.7433,-0.9540,-0.9540,-0.3196,0.3526
1864,-1.2895,-1.8568,-1.3051,-1.3051,-0.6002,0.3328
1865,-0.9918,-1.6808,-1.0566,-1.0566,-0.2804,0.3444
1866,-1.0102,-1.6188,-0.9982,-0.9982,-0.4135,0.2899
1867,-1.1003,-1.7065,-1.1649,-1.1649,-0.4915,0.3293
1868,-1.0110,-1.6083,-1.0466,-1.0466,-0.4400,0.3076
1869,-0.8362,-1.4234,-0.8915,-0.8915,-0.3166,0.3116
1870,-1.0829,-1.6252,-1.1202,-1.1202,-0.5903,0.2649
1871,-1.1246,-1.6861,-1.1290,-1.1290,-0.6541,0.2976
1872,-0.9179,-1.4782,-0.9182,-0.9182,-0.4444,0.2562
1873,-0.9525,-1.4129,-0.9651,-0.9651,-0.4785,0.2538
1874,-0.9415,-1.4011,-0.9570,-0.9570,-0.3330,0.2632
1875,-1.3485,-1.8756,-1.3425,-1.3425,-0.8452,0.2858
1876,-1.1145,-1.6263,-1.1251,-1.1251,-0.6503,0.2361
1877,-0.7542,-1.2089,-0.7920,-0.7920,-0.2642,0.2226
1878,-0.5108,-0.9786,-0.4879,-0.4879,-0.1573,0.1883
1879,-1.0366,-1.4432,-1.0474,-1.0474,-0.6374,0.1975
1880,-1.0420,-1.5185,-1.0555,-1.0555,-0.6227,0.2149
1881,-0.9674,-1.3139,-0.9783,-0.9783,-0.5952,0.1857
1882,-1.0166,-1.4318,-1.0079,-1.0079,-0.5635,0.2044
1883,-1.1168,-1.4011,-1.1278,-1.1278,-0.7687,0.1787
1884,-1.2707,-1.6022,-1.3009,-1.3009,-0.9193,0.1814
1885,-1.2182,-1.5735,-1.2431,-1.2431,-0.8480,0.1749
1886,-1.1397,-1.5756,-1.1230,-1.1230,-0.7686,0.1905
1887,-1.2258,-1.6745,-1.2051,-1.2051,-0.8706,0.1864
1888,-1.0874,-1.5425,-1.0834,-1.0834,-0.6740,0.2213
1889,-0.8212,-1.2520,-0.8402,-0.8402,-0.4776,0.1850
1890,-1.0668,-1.4547,-1.0401,-1.0401,-0.7452,0.1676
1891,-1.1257,-1.5025,-1.1263,-1.1263,-0.8194,0.1696
1892,-1.1421,-1.4684,-1.1439,-1.1439,-0.8480,0.1500
1893,-1.1907,-1.4943,-1.2144,-1.2144,-0.9142,0.1540
1894,-1.0361,-1.4664,-1.0000,-1.0000,-0.7349,0.1828
1895,-1.0448,-1.4360,-1.0619,-1.0619,-0.7740,0.1604
1896,-0.9620,-1.4066,-0.9517,-0.9517,-0.6840,0.1758
1897,-0.8201,-1.1815,-0.8268,-0.8268,-0.5339,0.1586
1898,-0.9232,-1.2756,-0.9213,-0.9213,-0.6164,0.1635
1899,-0.8119,-1.1293,-0.8242,-0.8242,-0.5257,0.1515
1900,-0.6932,-1.0310,-0.7049,-0.7049,-0.3833,0.1529
1901,-0.6736,-0.9485,-0.7148,-0.7148,-0.4148,0.1431
1902,-0.9012,-1.1588,-0.9111,-0.9111,-0.6429,0.1355
1903,-0.9487,-1.1926,-0.9711,-0.9711,-0.6825,0.1276
1904,-1.0249,-1.2424,-1.0458,-1.0458,-0.7689,0.1279
1905,-0.9085,-1.1147,-0.9244,-0.9244,-0.6530,0.1163
1906,-0.7150,-0.9516,-0.7322,-0.7322,-0.4766,0.1208
1907,-1.1233,-1.3359,-1.1399,-1.1399,-0.8839,0.1191
1908,-0.9887,-1.2209,-1.0018,-1.0018,-0.7514,0.1187
1909,-0.9653,-1.2021,-0.9710,-0.9710,-0.7394,0.1203
1910,-0.8831,-1.1187,-0.8991,-0.8991,-0.6437,0.1175
1911,-0.9529,-1.1609,-0.9744,-0.9744,-0.7427,0.1089
1912,-0.9861,-1.2263,-1.0037,-1.0037,-0.7070,0.1261
1913,-0.8803,-1.0878,-0.8905,-0.8905,-0.6367,0.1079
1914,-0.6408,-0.8646,-0.6480,-0.6480,-0.4053,0.1078
1915,-0.6258,-0.8546,-0.6376,-0.6376,-0.3171,0.1216
1916,-0.9201,-1.1181,-0.9314,-0.9314,-0.6862,0.1068
1917,-1.1905,-1.4067,-1.2055,-1.2055,-0.9267,0.1247
1918,-1.0234,-1.2986,-1.0260,-1.0260,-0.7520,0.1316
1919,-0.8274,-1.0329,-0.8489,-0.8489,-0.5907,0.1170
1920,-0.8012,-0.9946,-0.8166,-0.8166,-0.5838,0.1045
1921,-0.6440,-0.8433,-0.6524,-0.6524,-0.4137,0.1069
1922,-0.7885,-0.9580,-0.8128,-0.8128,-0.5828,0.0988
1923,-0.7833,-0.9672,-0.7971,-0.7971,-0.5840,0.0991
1924,-0.7678,-0.9463,-0.7864,-0.7864,-0.5756,0.1057
1925,-0.7258,-0.8972,-0.7388,-0.7388,-0.5347,0.0900
1926,-0.5561,-0.7056,-0.5773,-0.5773,-0.3672,0.0943
1927,-0.7079,-0.8767,-0.7227,-0.7227,-0.5068,0.0989
1928,-0.6127,-0.7723,-0.6273,-0.6273,-0.3729,0.0978
1929,-0.9601,-1.1219,-0.9819,-0.9819,-0.6783,0.0933
1930,-0.6040,-0.7660,-0.6135,-0.6135,-0.3688,0.0808
