year,mean,p025,p500,p975,sd
1850,-0.5327,-1.0506,-0.5075,-0.1611,0.2285
1851,-0.4403,-0.9425,-0.4106,-0.0925,0.2136
1852,-0.4286,-0.9052,-0.4064,-0.1082,0.2010
1853,-0.4490,-0.9058,-0.4298,-0.1434,0.1942
1854,-0.4930,-0.9459,-0.4663,-0.2073,0.1943
1855,-0.4632,-0.8015,-0.4515,-0.2068,0.1516
1856,-0.5267,-0.8622,-0.5119,-0.2865,0.1512
1857,-0.6331,-0.9800,-0.6167,-0.3654,0.1639
1858,-0.5624,-0.9465,-0.5323,-0.2480,0.1971
1859,-0.4884,-0.8351,-0.4819,-0.2221,0.1589
1860,-0.4660,-0.7657,-0.4610,-0.2151,0.1351
1861,-0.5540,-0.8534,-0.5588,-0.2323,0.1719
1862,-0.5776,-0.8980,-0.5823,-0.2425,0.1832
1863,-0.5580,-0.8221,-0.5607,-0.2730,0.1456
1864,-0.5522,-0.8634,-0.5577,-0.2356,0.1761
1865,-0.4059,-0.7586,-0.4142,-0.0589,0.1909
1866,-0.4254,-0.7590,-0.4230,-0.1272,0.1718
1867,-0.4539,-0.7466,-0.4558,-0.1822,0.1487
1868,-0.4521,-0.7856,-0.4459,-0.1323,0.1724
1869,-0.4935,-0.8217,-0.4897,-0.2008,0.1656
1870,-0.4859,-0.7791,-0.4701,-0.2434,0.1399
1871,-0.4853,-0.7915,-0.4756,-0.2133,0.1522
1872,-0.4698,-0.7700,-0.4683,-0.2016,0.1515
1873,-0.5220,-0.8154,-0.5196,-0.2679,0.1481
1874,-0.6209,-0.9422,-0.6105,-0.3526,0.1623
1875,-0.4687,-0.6897,-0.4706,-0.2323,0.1256
1876,-0.5394,-0.7855,-0.5447,-0.2831,0.1469
1877,-0.2572,-0.4617,-0.2588,-0.0339,0.1167
1878,-0.2466,-0.4331,-0.2480,-0.0435,0.1057
1879,-0.4372,-0.6301,-0.4384,-0.2393,0.1026
1880,-0.4718,-0.6836,-0.4629,-0.2817,0.1041
1881,-0.3902,-0.5875,-0.3894,-0.1914,0.1065
1882,-0.4511,-0.6278,-0.4526,-0.2571,0.1008
1883,-0.4716,-0.6582,-0.4734,-0.2881,0.1012
1884,-0.5521,-0.7669,-0.5418,-0.3560,0.1175
1885,-0.5418,-0.7616,-0.5383,-0.3433,0.1214
1886,-0.5570,-0.7357,-0.5585,-0.3683,0.1076
1887,-0.6311,-0.8064,-0.6362,-0.4441,0.1040
1888,-0.4810,-0.6791,-0.4813,-0.2996,0.1020
1889,-0.4242,-0.5812,-0.4244,-0.2752,0.0757
1890,-0.6561,-0.8459,-0.6609,-0.4461,0.1108
1891,-0.5099,-0.6546,-0.5163,-0.3305,0.0851
1892,-0.6363,-0.8018,-0.6480,-0.4336,0.1002
1893,-0.6229,-0.7814,-0.6345,-0.4205,0.0934
1894,-0.6350,-0.7998,-0.6370,-0.4347,0.0941
1895,-0.5336,-0.7212,-0.5387,-0.3379,0.1011
